"subj" "trial" "rating" "cond" "targ_ID" "dist_ID" "exp"
"357" "1" 373 4 "semantic" "Elefant" "Schwein" 6
"358" "1" 374 5 "congruent" "Glocke" "Glocke" 6
"359" "1" 375 5 "congruent" "Affe" "Affe" 6
"360" "1" 376 5 "congruent" "Ente" "Ente" 6
"361" "1" 377 3 "unrelated" "Staubsauger" "Kuh" 6
"362" "1" 378 5 "congruent" "Katze" "Katze" 6
"363" "1" 379 4 "semantic" "Schwein" "Elefant" 6
"364" "1" 380 5 "unrelated" "Floete" "Besen" 6
"365" "1" 381 5 "congruent" "Schiff" "Schiff" 6
"366" "1" 382 4 "unrelated" "Fahrrad" "Loewe" 6
"368" "1" 384 4 "semantic" "Klingel" "Glocke" 6
"370" "1" 386 5 "congruent" "Schaf" "Schaf" 6
"371" "1" 387 3 "unrelated" "Orgel" "Hund" 6
"373" "1" 389 2 "semantic" "Esel" "Schaf" 6
"374" "1" 390 5 "congruent" "Hund" "Hund" 6
"375" "1" 391 5 "semantic" "Schere" "Saege" 6
"376" "1" 392 4 "unrelated" "Bohrer" "Trompete" 6
"379" "1" 395 4 "semantic" "Kuh" "Affe" 6
"380" "1" 396 4 "unrelated" "Hammer" "Dudelsack" 6
"382" "1" 398 5 "unrelated" "Loewe" "Glocke" 6
"383" "1" 399 2 "semantic" "Hahn" "Ente" 6
"386" "1" 402 5 "congruent" "Besen" "Besen" 6
"387" "1" 403 4 "unrelated" "Trompete" "Staubsauger" 6
"388" "1" 404 4 "semantic" "Auto" "Fahrrad" 6
"389" "1" 405 4 "semantic" "Katze" "Loewe" 6
"390" "1" 406 5 "congruent" "Trommel" "Trommel" 6
"391" "1" 407 5 "congruent" "Geige" "Geige" 6
"395" "1" 411 4 "semantic" "Hund" "Pferd" 6
"396" "1" 412 4 "semantic" "Besen" "Staubsauger" 6
"397" "1" 413 5 "congruent" "Zug" "Zug" 6
"399" "1" 415 4 "unrelated" "Klingel" "Schere" 6
"400" "1" 416 4 "unrelated" "Elefant" "Bohrer" 6
"401" "1" 417 4 "unrelated" "Kuh" "Floete" 6
"402" "1" 418 2 "semantic" "Schiff" "Zug" 6
"403" "1" 419 4 "unrelated" "Hahn" "Klingel" 6
"404" "1" 420 4 "semantic" "Affe" "Kuh" 6
"405" "1" 421 4 "congruent" "Harfe" "Harfe" 6
"406" "1" 422 4 "unrelated" "Schere" "Affe" 6
"407" "1" 423 5 "congruent" "Dudelsack" "Dudelsack" 6
"408" "1" 424 5 "unrelated" "Schwein" "Fahrrad" 6
"409" "1" 425 5 "congruent" "Saege" "Saege" 6
"412" "1" 428 5 "congruent" "Pferd" "Pferd" 6
"413" "1" 429 4 "unrelated" "Auto" "Schaf" 6
"414" "1" 430 5 "congruent" "Gitarre" "Gitarre" 6
"415" "1" 431 2 "semantic" "Schaf" "Esel" 6
"416" "1" 432 2 "semantic" "Ente" "Hahn" 6
"417" "1" 433 3 "semantic" "Glocke" "Klingel" 6
"419" "1" 435 4 "unrelated" "Esel" "Hammer" 6
"421" "1" 437 4 "unrelated" "Gitarre" "Saege" 6
"422" "1" 438 5 "congruent" "Schere" "Schere" 6
"423" "1" 439 4 "unrelated" "Geige" "Katze" 6
"424" "1" 440 3 "unrelated" "Saege" "Hahn" 6
"427" "1" 443 4 "unrelated" "Trommel" "Elefant" 6
"428" "1" 444 5 "unrelated" "Zug" "Esel" 6
"429" "1" 445 5 "congruent" "Hahn" "Hahn" 6
"430" "1" 446 4 "semantic" "Staubsauger" "Besen" 6
"431" "1" 447 5 "semantic" "Hammer" "Bohrer" 6
"432" "1" 448 5 "congruent" "Klingel" "Klingel" 6
"433" "1" 449 5 "congruent" "Esel" "Esel" 6
"434" "1" 450 3 "unrelated" "Dudelsack" "Pferd" 6
"435" "1" 451 4 "unrelated" "Harfe" "Ente" 6
"436" "1" 452 5 "congruent" "Schwein" "Schwein" 6
"438" "1" 454 4 "semantic" "Fahrrad" "Auto" 6
"441" "1" 457 4 "semantic" "Trompete" "Dudelsack" 6
"442" "1" 458 5 "semantic" "Loewe" "Katze" 6
"443" "1" 459 4 "semantic" "Bohrer" "Hammer" 6
"446" "1" 462 5 "congruent" "Elefant" "Elefant" 6
"448" "1" 464 4 "semantic" "Floete" "Harfe" 6
"449" "1" 465 2 "semantic" "Orgel" "Geige" 6
"450" "1" 466 5 "congruent" "Kuh" "Kuh" 6
"451" "1" 467 5 "congruent" "Auto" "Auto" 6
"452" "1" 468 4 "unrelated" "Pferd" "Trommel" 6
"455" "1" 471 4 "unrelated" "Schiff" "Harfe" 6
"456" "1" 472 4 "semantic" "Saege" "Schere" 6
"457" "1" 473 4 "semantic" "Geige" "Orgel" 6
"458" "1" 474 5 "congruent" "Fahrrad" "Fahrrad" 6
"459" "1" 475 5 "congruent" "Trompete" "Trompete" 6
"460" "1" 476 5 "unrelated" "Besen" "Auto" 6
"462" "1" 478 5 "congruent" "Bohrer" "Bohrer" 6
"463" "1" 479 4 "unrelated" "Hund" "Zug" 6
"464" "1" 480 4 "unrelated" "Glocke" "Schwein" 6
"466" "1" 482 5 "semantic" "Harfe" "Floete" 6
"467" "1" 483 5 "semantic" "Pferd" "Hund" 6
"468" "1" 484 3 "unrelated" "Ente" "Orgel" 6
"469" "1" 485 3 "semantic" "Dudelsack" "Trompete" 6
"470" "1" 486 4 "unrelated" "Schaf" "Geige" 6
"471" "1" 487 2 "semantic" "Zug" "Schiff" 6
"472" "1" 488 5 "congruent" "Floete" "Floete" 6
"473" "1" 489 5 "congruent" "Hammer" "Hammer" 6
"474" "1" 490 5 "unrelated" "Affe" "Gitarre" 6
"477" "1" 493 4 "unrelated" "Katze" "Schiff" 6
"478" "1" 494 4 "semantic" "Gitarre" "Trommel" 6
"479" "1" 495 5 "congruent" "Staubsauger" "Staubsauger" 6
"480" "1" 496 4 "semantic" "Trommel" "Gitarre" 6
"482" "1" 498 2 "congruent" "Orgel" "Orgel" 6
"483" "1" 499 5 "congruent" "Loewe" "Loewe" 6
"841" "2" 373 3 "unrelated" "Elefant" "Bohrer" 6
"842" "2" 374 4 "semantic" "Glocke" "Klingel" 6
"843" "2" 375 2 "semantic" "Affe" "Kuh" 6
"844" "2" 376 1 "semantic" "Ente" "Hahn" 6
"846" "2" 378 3 "semantic" "Katze" "Loewe" 6
"847" "2" 379 3 "unrelated" "Schwein" "Fahrrad" 6
"849" "2" 381 2 "semantic" "Schiff" "Zug" 6
"851" "2" 383 4 "congruent" "Harfe" "Harfe" 6
"852" "2" 384 4 "unrelated" "Klingel" "Schere" 6
"853" "2" 385 5 "congruent" "Pferd" "Pferd" 6
"854" "2" 386 2 "semantic" "Schaf" "Esel" 6
"856" "2" 388 5 "congruent" "Saege" "Saege" 6
"857" "2" 389 4 "unrelated" "Esel" "Hammer" 6
"858" "2" 390 3 "semantic" "Hund" "Pferd" 6
"859" "2" 391 4 "unrelated" "Schere" "Affe" 6
"861" "2" 393 4 "congruent" "Zug" "Zug" 6
"862" "2" 394 4 "congruent" "Geige" "Geige" 6
"863" "2" 395 5 "unrelated" "Kuh" "Floete" 6
"865" "2" 397 4 "congruent" "Gitarre" "Gitarre" 6
"867" "2" 399 4 "unrelated" "Hahn" "Klingel" 6
"868" "2" 400 5 "congruent" "Dudelsack" "Dudelsack" 6
"869" "2" 401 5 "congruent" "Trommel" "Trommel" 6
"870" "2" 402 2 "semantic" "Besen" "Staubsauger" 6
"872" "2" 404 3 "unrelated" "Auto" "Schaf" 6
"873" "2" 405 3 "unrelated" "Katze" "Schiff" 6
"874" "2" 406 4 "semantic" "Trommel" "Gitarre" 6
"875" "2" 407 4 "semantic" "Geige" "Orgel" 6
"876" "2" 408 5 "congruent" "Hammer" "Hammer" 6
"877" "2" 409 5 "congruent" "Floete" "Floete" 6
"878" "2" 410 5 "congruent" "Loewe" "Loewe" 6
"879" "2" 411 4 "unrelated" "Hund" "Zug" 6
"880" "2" 412 4 "unrelated" "Besen" "Auto" 6
"881" "2" 413 1 "semantic" "Zug" "Schiff" 6
"882" "2" 414 5 "congruent" "Trompete" "Trompete" 6
"886" "2" 418 3 "unrelated" "Schiff" "Harfe" 6
"888" "2" 420 4 "unrelated" "Affe" "Gitarre" 6
"889" "2" 421 5 "semantic" "Harfe" "Floete" 6
"891" "2" 423 3 "semantic" "Dudelsack" "Trompete" 6
"893" "2" 425 5 "semantic" "Saege" "Schere" 6
"894" "2" 426 4 "congruent" "Fahrrad" "Fahrrad" 6
"895" "2" 427 5 "congruent" "Bohrer" "Bohrer" 6
"896" "2" 428 2 "semantic" "Pferd" "Hund" 6
"898" "2" 430 4 "semantic" "Gitarre" "Trommel" 6
"899" "2" 431 3 "unrelated" "Schaf" "Geige" 6
"900" "2" 432 2 "unrelated" "Ente" "Orgel" 6
"901" "2" 433 3 "unrelated" "Glocke" "Schwein" 6
"902" "2" 434 4 "congruent" "Staubsauger" "Staubsauger" 6
"904" "2" 436 4 "congruent" "Orgel" "Orgel" 6
"906" "2" 438 5 "semantic" "Schere" "Saege" 6
"909" "2" 441 4 "congruent" "Katze" "Katze" 6
"910" "2" 442 4 "congruent" "Ente" "Ente" 6
"913" "2" 445 1 "semantic" "Hahn" "Ente" 6
"914" "2" 446 4 "unrelated" "Staubsauger" "Kuh" 6
"915" "2" 447 3 "unrelated" "Hammer" "Dudelsack" 6
"916" "2" 448 3 "semantic" "Klingel" "Glocke" 6
"917" "2" 449 1 "semantic" "Esel" "Schaf" 6
"920" "2" 452 1 "semantic" "Schwein" "Elefant" 6
"921" "2" 453 4 "congruent" "Hund" "Hund" 6
"922" "2" 454 2 "unrelated" "Fahrrad" "Loewe" 6
"923" "2" 455 4 "congruent" "Besen" "Besen" 6
"924" "2" 456 3 "congruent" "Schiff" "Schiff" 6
"925" "2" 457 5 "unrelated" "Trompete" "Staubsauger" 6
"926" "2" 458 3 "unrelated" "Loewe" "Glocke" 6
"927" "2" 459 3 "unrelated" "Bohrer" "Trompete" 6
"928" "2" 460 4 "congruent" "Affe" "Affe" 6
"929" "2" 461 4 "congruent" "Glocke" "Glocke" 6
"930" "2" 462 2 "semantic" "Elefant" "Schwein" 6
"931" "2" 463 4 "congruent" "Schaf" "Schaf" 6
"932" "2" 464 5 "unrelated" "Floete" "Besen" 6
"933" "2" 465 2 "unrelated" "Orgel" "Hund" 6
"934" "2" 466 2 "semantic" "Kuh" "Affe" 6
"935" "2" 467 2 "semantic" "Auto" "Fahrrad" 6
"937" "2" 469 4 "congruent" "Schere" "Schere" 6
"938" "2" 470 4 "congruent" "Elefant" "Elefant" 6
"940" "2" 472 3 "unrelated" "Saege" "Hahn" 6
"941" "2" 473 3 "unrelated" "Geige" "Katze" 6
"942" "2" 474 2 "semantic" "Fahrrad" "Auto" 6
"943" "2" 475 3 "semantic" "Trompete" "Dudelsack" 6
"945" "2" 477 4 "congruent" "Klingel" "Klingel" 6
"946" "2" 478 5 "semantic" "Bohrer" "Hammer" 6
"949" "2" 481 4 "congruent" "Esel" "Esel" 6
"950" "2" 482 4 "unrelated" "Harfe" "Ente" 6
"951" "2" 483 3 "unrelated" "Pferd" "Trommel" 6
"953" "2" 485 3 "unrelated" "Dudelsack" "Pferd" 6
"955" "2" 487 3 "unrelated" "Zug" "Esel" 6
"956" "2" 488 4 "semantic" "Floete" "Harfe" 6
"957" "2" 489 5 "semantic" "Hammer" "Bohrer" 6
"959" "2" 491 4 "congruent" "Auto" "Auto" 6
"960" "2" 492 4 "congruent" "Hahn" "Hahn" 6
"962" "2" 494 5 "unrelated" "Gitarre" "Saege" 6
"963" "2" 495 2 "semantic" "Staubsauger" "Besen" 6
"964" "2" 496 2 "unrelated" "Trommel" "Elefant" 6
"965" "2" 497 4 "congruent" "Schwein" "Schwein" 6
"966" "2" 498 4 "semantic" "Orgel" "Geige" 6
"967" "2" 499 4 "semantic" "Loewe" "Katze" 6
"968" "2" 500 4 "congruent" "Kuh" "Kuh" 6
"1326" "3" 374 4 "unrelated" "Glocke" "Schwein" 6
"1327" "3" 375 5 "unrelated" "Affe" "Gitarre" 6
"1328" "3" 376 2 "unrelated" "Ente" "Orgel" 6
"1329" "3" 377 3 "congruent" "Staubsauger" "Staubsauger" 6
"1330" "3" 378 4 "unrelated" "Katze" "Schiff" 6
"1332" "3" 380 3 "congruent" "Floete" "Floete" 6
"1333" "3" 381 3 "unrelated" "Schiff" "Harfe" 6
"1334" "3" 382 3 "congruent" "Fahrrad" "Fahrrad" 6
"1335" "3" 383 4 "semantic" "Harfe" "Floete" 6
"1337" "3" 385 3 "semantic" "Pferd" "Hund" 6
"1338" "3" 386 4 "unrelated" "Schaf" "Geige" 6
"1339" "3" 387 3 "congruent" "Orgel" "Orgel" 6
"1340" "3" 388 5 "semantic" "Saege" "Schere" 6
"1342" "3" 390 3 "unrelated" "Hund" "Zug" 6
"1344" "3" 392 3 "congruent" "Bohrer" "Bohrer" 6
"1345" "3" 393 2 "semantic" "Zug" "Schiff" 6
"1346" "3" 394 2 "semantic" "Geige" "Orgel" 6
"1348" "3" 396 3 "congruent" "Hammer" "Hammer" 6
"1349" "3" 397 4 "semantic" "Gitarre" "Trommel" 6
"1350" "3" 398 3 "congruent" "Loewe" "Loewe" 6
"1352" "3" 400 3 "semantic" "Dudelsack" "Trompete" 6
"1353" "3" 401 4 "semantic" "Trommel" "Gitarre" 6
